   1252.40    14.086		0.85051E+01
   1253.60    14.072		0.86128E+01
   1254.80    13.995		0.92480E+01
   1256.00    13.960		0.95473E+01
   1257.20    13.957		0.95804E+01
   1258.40    13.903		0.10065E+02
   1259.60    13.850		0.10570E+02
   1260.80    13.776		0.11311E+02
   1262.00    13.777		0.11307E+02
   1263.20    13.725		0.11863E+02
   1264.20    13.749		0.11602E+02
   1265.40    13.754		0.11547E+02
   1266.60    13.675		0.12421E+02
   1267.80    13.678		0.12385E+02
   1269.00    13.640		0.12826E+02
   1270.20    13.580		0.13554E+02
   1271.40    13.538		0.14088E+02
   1272.60    13.546		0.13983E+02
   1273.80    13.534		0.14140E+02
   1275.00    13.623		0.13028E+02
   1276.00    13.562		0.13777E+02
   1277.20    13.546		0.13979E+02
   1278.40    13.537		0.14105E+02
   1279.60    13.487		0.14768E+02
   1280.80    13.493		0.14689E+02
   1282.00    13.461		0.15126E+02
   1283.20    13.526		0.14246E+02
   1284.40    13.496		0.14644E+02
   1285.60    13.474		0.14935E+02
   1286.80    13.516		0.14372E+02
   1287.80    13.472		0.14975E+02
   1289.00    13.449		0.15283E+02
   1290.20    13.479		0.14866E+02
   1291.40    13.486		0.14779E+02
   1292.60    13.450		0.15275E+02
   1293.80    13.463		0.15092E+02
   1295.00    13.401		0.15983E+02
   1296.20    13.401		0.15986E+02
   1297.40    13.366		0.16500E+02
   1298.60    13.458		0.15168E+02
   1299.60    13.494		0.14672E+02
   1300.80    13.513		0.14416E+02
   1302.00    13.458		0.15160E+02
   1303.20    13.441		0.15398E+02
   1304.40    13.484		0.14806E+02
   1305.60    13.418		0.15733E+02
   1306.80    13.457		0.15184E+02
   1308.00    13.445		0.15347E+02
   1309.20    13.386		0.16204E+02
   1310.40    13.366		0.16507E+02
   1311.40    13.463		0.15095E+02
   1312.60    13.399		0.16011E+02
   1313.80    13.400		0.16001E+02
   1315.00    13.357		0.16639E+02
   1316.20    13.382		0.16266E+02
   1317.40    13.442		0.15391E+02
   1318.60    13.386		0.16206E+02
   1319.80    13.399		0.16012E+02
   1321.00    13.415		0.15774E+02
   1322.00    13.367		0.16496E+02
   1323.20    13.368		0.16477E+02
   1324.40    13.406		0.15914E+02
   1325.60    13.392		0.16117E+02
   1326.80    13.476		0.14913E+02
   1328.00    13.420		0.15699E+02
   1329.20    13.398		0.16026E+02
   1330.40    13.444		0.15355E+02
   1331.60    13.397		0.16039E+02
   1332.80    13.450		0.15280E+02
   1333.80    13.439		0.15427E+02
   1335.00    13.453		0.15229E+02
   1336.20    13.453		0.15229E+02
   1337.40    13.413		0.15801E+02
   1338.60    13.412		0.15817E+02
   1339.80    13.476		0.14917E+02
   1341.00    13.426		0.15614E+02
   1342.20    13.360		0.16598E+02
   1343.40    13.393		0.16106E+02
   1344.60    13.420		0.15697E+02
